"Geneid","SRR1178046","SRR1178036","SRR1178020","SRR1178002","SRR1177999","SRR1177997","SRR1177989","SRR1177988","SRR1177987"
"NM_001000123",0,0,0,0,0,0,0,0,0
"NM_001000124",0,0,0,0,0,0,0,0,0
"NM_001000125",0,0,0,0,0,0,0,0,0
"NM_001000126",0,0,0,0,0,0,0,0,0
"NM_001000127",0,0,0,0,0,0,0,0,0
"NM_001000128",0,0,0,0,0,0,2,0,0
"NM_001000129",0,0,0,0,0,0,0,0,0
"NM_001000130",0,0,0,0,0,0,0,1,0
"NM_001000131",0,0,0,0,0,0,0,0,0
"NM_001000132",0,0,0,0,0,0,0,0,0
"NM_001000133",0,0,0,0,0,0,0,0,0
"NM_001000134",0,0,0,0,0,0,0,0,0
"NM_001000135",0,0,0,0,0,0,0,0,0
"NM_001000136",0,0,0,0,0,0,0,0,0
"NM_001000137",0,0,0,0,0,0,0,0,0
"NM_001000138",0,0,0,0,0,0,0,0,0
"NM_001000139",0,0,0,0,0,0,0,0,0
"NM_001000140",0,0,0,0,0,0,0,0,0
"NM_001000141",0,0,0,0,0,0,0,0,0
"NM_001000143",0,0,0,0,0,0,0,0,0
"NM_001000144",0,0,0,0,0,0,0,0,0
"NM_001000145",0,0,0,0,0,0,0,0,0
"NM_001000146",0,0,0,0,0,0,0,0,0
"NM_001000147",0,0,0,0,0,0,0,0,0
"NM_001000148",0,0,0,0,0,0,0,0,0
"NM_001000149",0,0,0,0,0,0,0,0,0
"NM_001000150",0,0,0,0,0,0,0,0,0
"NM_001000151",0,0,0,0,0,0,0,0,0
"NM_001000152",0,0,0,0,0,0,0,0,0
"NM_001000153",0,0,0,0,0,0,0,0,0
"NM_001000154",0,0,0,0,0,0,0,0,0
"NM_001000155",0,0,0,0,0,0,0,0,0
"NM_001000156",0,0,0,0,0,0,0,0,0
"NM_001000157",0,0,0,0,0,0,0,0,0
"NM_001000158",0,0,0,0,0,0,0,0,0
"NM_001000159",0,0,0,0,0,0,0,0,0
"NM_001000160",0,0,0,0,0,0,0,0,0
"NM_001000161",0,0,0,0,0,0,0,0,0
"NM_001000162",0,0,0,0,0,0,0,0,0
"NM_001000163",0,0,0,0,0,0,0,0,0
"NM_001000164",0,0,0,0,0,0,0,0,0
"NM_001000165",0,0,0,0,0,0,0,0,0
"NM_001000166",0,0,0,0,0,0,0,0,0
"NM_001000167",0,0,0,0,0,0,0,0,0
"NM_001000168",0,0,0,0,0,0,0,0,0
"NM_001000169",0,0,0,0,0,0,0,0,0
"NM_001000170",0,0,0,0,0,0,0,0,0
"NM_001000171",0,0,0,0,0,0,0,0,0
"NM_001000172",0,0,0,0,0,0,0,0,0
"NM_001000173",0,0,0,0,0,0,0,0,0
"NM_001000174",0,0,0,0,0,0,0,0,0
"NM_001000175",0,0,0,0,0,0,0,0,0
"NM_001000176",0,0,0,0,0,0,0,0,0
"NM_001000177",0,0,0,0,0,0,0,0,0
"NM_001000178",0,0,0,0,0,0,0,0,0
"NM_001000179",0,0,0,0,0,0,0,0,0
"NM_001000180",0,0,0,0,0,0,0,0,0
"NM_001000181",0,0,0,0,0,0,0,0,0
"NM_001000182",0,0,0,0,0,0,0,0,0
"NM_001000183",0,0,0,0,0,0,0,0,0
"NM_001000184",0,0,0,0,0,0,0,0,0
"NM_001000185",0,0,0,0,0,0,0,0,0
"NM_001000186",0,0,0,0,0,0,0,0,0
"NM_001000187",0,0,0,0,0,0,0,0,0
"NM_001000188",0,0,0,0,0,0,0,0,0
"NM_001000189",0,0,0,0,0,0,0,0,0
"NM_001000190",0,0,0,0,0,0,0,0,0
"NM_001000191",0,0,0,0,0,0,0,0,0
"NM_001000192",0,0,0,0,0,0,0,0,0
"NM_001000193",0,0,0,0,0,0,0,0,0
"NM_001000194",0,0,0,0,0,0,0,0,0
"NM_001000195",0,0,0,0,0,0,0,0,0
"NM_001000196",2,0,0,0,0,0,0,0,0
"NM_001000197",0,0,0,0,0,0,0,0,0
"NM_001000198",0,0,0,0,0,0,0,0,0
"NM_001000199",0,0,0,0,0,0,0,0,0
"NM_001000200",0,0,0,0,0,0,0,0,0
"NM_001000201",0,0,0,0,0,0,0,0,0
"NM_001000202",0,0,0,0,0,0,0,0,0
"NM_001000203",0,0,0,0,0,0,0,0,0
"NM_001000204",0,0,0,0,0,0,0,0,0
"NM_001000205",0,0,0,0,0,0,0,0,0
"NM_001000206",0,0,0,0,0,0,0,0,0
"NM_001000207",0,0,0,0,0,0,0,0,0
"NM_001000208",0,0,0,0,0,0,0,0,0
"NM_001000209",0,0,0,0,0,0,0,0,0
"NM_001000210",0,0,0,0,0,0,0,0,0
"NM_001000211",0,0,0,0,0,0,0,0,0
"NM_001000213",0,0,0,0,0,0,0,0,0
"NM_001000214",0,0,0,0,0,0,0,0,0
"NM_001000215",0,0,0,0,0,0,0,0,0
"NM_001000216",0,0,0,0,0,0,0,0,0
"NM_001000217",0,0,0,0,0,0,0,0,0
"NM_001000218",0,0,0,0,0,0,0,0,0
"NM_001000219",0,0,0,0,0,0,0,0,0
"NM_001000220",0,0,0,0,0,0,0,0,0
"NM_001000221",0,0,0,0,0,0,0,0,0
"NM_001000222",0,0,0,0,0,0,0,0,0
"NM_001000223",0,0,0,0,0,0,0,0,0
"NM_001000224",0,0,0,0,0,0,0,0,0
"NM_001000225",0,0,0,0,0,0,0,0,0
"NM_001000226",0,0,0,0,0,0,0,0,0
"NM_001000227",0,0,0,0,0,0,0,0,0
"NM_001000228",0,0,0,0,0,0,0,0,0
"NM_001000229",0,0,0,0,0,0,0,0,0
"NM_001000230",0,0,0,0,0,0,0,0,0
"NM_001000231",0,0,0,0,0,0,0,0,0
"NM_001000232",0,0,0,0,0,0,0,0,0
"NM_001000233",0,0,0,0,0,0,0,0,0
"NM_001000234",0,0,0,0,0,0,0,0,0
"NM_001000235",0,0,0,0,0,0,2,0,2
"NM_001000236",0,0,0,0,0,0,0,0,0
