Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
SRR1177987	61.93748540132534	20401981
SRR1177988	61.85449943393584	21517681
SRR1177989	59.11084712606207	21174625
SRR1177997	62.63154031303905	24692476
SRR1177999	62.36001163721265	27110596
SRR1178002	61.84976716987774	23300904
SRR1178020	59.41516876040759	18389577
SRR1178036	59.12288589884175	15676743
SRR1178046	59.32844203412474	20662485
