"","SRR1178020","SRR1178036","SRR1178046","SRR1177973","SRR1178016","SRR1178019"
"NM_001000121",59.0922546191313,61.3471021252299,20.1758576536092,69.606447753425,13.6630973434886,57.6962174208938
"NM_001000750",59.0922546191313,106.177676755206,34.1437591061079,149.001302222175,127.52224187256,118.658258469385
"NM_001000913",9.84870910318856,2.35950392789346,6.98395072624934,11.9636082076199,11.8413510310235,4.35443150346369
"NM_001001504",335.84098041873,372.801620607166,465.596715083289,440.478302189642,500.069362771683,500.759622898324
"NM_001001505",1382.75875808767,1817.99777644191,2199.1684842434,4032.82356671406,3304.64781081178,3928.78582400011
"NM_001001507",545.618484316646,534.427639667868,677.443220446186,501.383943973889,334.290448337354,775.088807616536
"NM_001001509",2921.12712000573,2305.23533755191,2154.16080178535,6434.24601420722,7894.53764506771,4492.68470369866
"NM_001001511",40.3797073230731,76.6838776565374,43.4556934077736,91.3584626763703,82.8894572171641,118.658258469385
"NM_001001512",2476.95033945192,2681.57621405092,1929.89838402023,2831.02474222133,2891.11139788219,3193.97550779061
"NM_001001513",201.898536615365,176.962794592009,192.446642234426,158.789708937501,143.007085528514,173.088652262682
"NM_001001515",302.355369467889,214.714857438305,149.766943351791,316.491817128854,295.122902619354,310.253244621788
"NM_001001517",879.489722914738,904.869756347141,938.953375417966,938.59944392509,990.119120824807,998.25342216905
"NM_001001718",261.975662144816,291.398735094842,282.462007150529,303.440608175087,337.023067806052,327.670970635642
"NM_001001719",62.0468673500879,66.0661099810168,101.655282793185,79.3948544687504,45.5436578116287,55.519001669162
"NM_001001720",66.9712219016822,68.4256139089103,58.1995893854111,45.6792313381851,64.6719940925127,43.5443150346369
"NM_001001800",621.453544411198,581.617718225737,430.676961452042,750.444514841613,724.144159204896,777.266023368268
"NM_001001801",50.2284164262616,57.8078462333897,54.3196167597171,41.3288283535961,43.7219114991635,45.7215307863687
"NM_001002016",1331.54547075109,1390.92756549319,1644.33239876915,1376.90254462244,1189.60034203974,1219.24082096983
"NM_001002022",790.851340986041,818.74786297903,678.995209496463,855.941787217898,851.666401077456,940.557204748156
"NM_001002253",482.586746056239,447.12599433581,509.052408491063,399.149473836046,500.069362771683,425.645679463575
"NM_001002277",148.715507458147,115.615692466779,102.431277318324,135.950093268408,109.304778747909,169.822828635084
"NM_001002278",325.992271315541,299.656998842469,339.109607485662,318.667018621149,302.409887869214,280.860831973408
"NM_001002279",130.987831072408,140.390483709661,112.519206145128,153.351705206764,166.689787590561,124.101297848715
"NM_001002289",152.654991099423,148.648747457288,142.782992625542,179.454123114299,158.491929184468,250.379811449162
"NM_001002798",406.751685961687,381.059884354793,488.876550837454,408.937880551372,451.793085491356,391.898835311732
"NM_001002802",108.335800135074,107.357428719152,96.2233211172131,101.146869391696,61.939374623815,124.101297848715
"NM_001002804",1386.69824172895,1549.01432866206,1050.69658703796,1071.28673495506,1583.09754553221,1408.6585913705
"NM_001002805",637.2114789763,696.05365872857,782.202481339926,532.92436561216,629.413350956708,645.544470388491
"NM_001002807",308.264594929802,206.456593690678,455.508786256484,239.272164152398,214.966064870887,215.544359421452
"NM_001002809",991.765006691088,904.869756347141,1055.35255418879,1016.90669764769,1156.80890841537,940.557204748156
"NM_001002818",151.670120189104,114.435940502833,102.431277318324,110.935276107021,123.87874924763,93.6202773244692
"NM_001002819",7.87896728255085,40.1115667741888,18.6238686033316,50.0296343227742,21.8609557495818,26.1265890207821
"NM_001002823",34.4704818611599,34.2128069544551,30.2637864804138,39.1536268613016,26.4153215307446,26.1265890207821
"NM_001002826",13047.5698199042,12366.1600860896,7527.92288837165,14187.7517334911,13867.1329304847,13233.1173390261
"NM_001002827",119.169380148582,107.357428719152,155.198905027763,106.584873122432,45.5436578116287,106.68357183486
"NM_001002828",327.962013136179,392.857403994261,363.941432290104,358.908246228598,500.069362771683,512.734309532849
"NM_001002829",17.7276763857394,17.6962794592009,12.415912402221,8.70080596917812,16.3957168121863,23.9493732690503
"NM_001002831",1247.83144337399,1033.46272041733,1098.80824759656,1083.25034316268,1169.56113260262,1134.32940665229
"NM_001002835",952.370170278333,769.198280493267,568.027992401613,1071.28673495506,960.971179825365,1127.79775939709
"NM_001002851",135.912185624002,152.188003349128,170.718795530539,113.110477599316,121.146129778932,116.481042717654
"NM_001002853",30.5309982198845,40.1115667741888,95.4473265920743,43.5040298458906,26.4153215307446,29.3924126483799
"NM_001002854",588.952804370676,639.425564459127,838.07408714992,500.296343227742,543.791274270846,449.595052732626
"NM_001003401",698.273475416069,438.867730588183,1497.66943351791,390.448667866868,417.179905554518,277.59500834581
"NM_001003402",283.64282217183,318.533030265617,162.182855754012,428.514693982023,510.999840646474,381.012756553073
"NM_001003403",74.850189184233,115.615692466779,142.006998100403,202.293738783391,252.311864276423,370.126677794413
"NM_001003673",1642.76467841185,1698.84282808329,1453.437745585,1597.68549609033,1654.14565171835,1610.0510484057
"NM_001003705",297.431014916294,312.634270445883,376.357344692325,215.344947737159,236.827020620469,268.886145338883
"NM_001003706",499.32955153166,441.227234516077,666.579297094242,302.35300742894,388.031964555076,222.076006676648
"NM_001003708",198.943923884409,166.345026916489,204.862554636647,154.439305952912,166.689787590561,150.227886869497
"NM_001003709",1463.51817273382,1551.37383258995,1574.49289150666,1463.91060431422,1585.83016500091,1435.87378826715
"NM_001003711",25.6066436682902,14.1570235673607,28.7117974301362,64.1684440226886,60.1176283113498,46.8101386622346
"NM_001003958",74.850189184233,51.9090864136561,51.2156386591618,68.5188470072777,48.2762772803264,59.8734331726257
"NM_001003959",165.458312933568,194.65907405121,111.743211619989,331.718227574916,263.242342151214,252.557027200894
"NM_001003974",45.3040618746674,61.3471021252299,51.9916331843006,69.606447753425,52.8306430614892,47.8987465381005
"NM_001003975",237.353889386844,217.074361366198,200.206587485814,213.169746244864,204.035586996096,198.126633407598
"NM_001003978",2120.4270699165,2201.4171647246,2053.2815135173,2293.74997362458,2515.83165751437,2217.49424313888
"NM_001004068",450.086006015717,381.059884354793,419.813038100099,431.777496220464,357.973150399401,412.582384953184
"NM_001004072",1449.72997998936,1481.76846671709,1312.98273653488,1790.1908281584,1291.61813553779,1645.97510830927
"NM_001004075",145.760894727191,181.681802447796,131.919069273599,134.862492522261,150.294070778375,128.455729352179
"NM_001004076",64.0166091707256,84.9421414041645,42.6796988826348,48.9420335766269,33.7023067806052,46.8101386622346
"NM_001004078",2824.60977079448,2972.97494914576,3354.6243321751,2617.85499597647,2819.15241853981,2752.00071018905
"NM_001004080",145.760894727191,145.109491565448,143.558987150681,279.513391759847,185.818123871445,149.139278993631
"NM_001004081",78.7896728255084,92.0206531878449,86.9113868155473,65.2560447688359,89.2655693107922,118.658258469385
"NM_001004082",17812.3752840268,17721.0542504438,20700.429952603,12108.2591068575,11079.861072413,13825.3200234972
"NM_001004083",1378.8192744464,1517.16102563549,1191.92759061322,1475.87421252184,1595.84976971947,1549.08900735721
"NM_001004085",860.77717561868,532.068135739975,816.346240446033,1243.12765284632,963.703799294062,1218.15221309397
"NM_001004086",5967.33284562195,5843.31147742815,4439.46467831916,5727.3055292115,6064.59347419647,6226.83704995307
"NM_001004087",20.682289116696,30.673551062615,8.53593977652697,53.292436561216,46.4545309678612,45.7215307863687
"NM_001004088",3.93948364127542,15.3367755313075,4.65596715083289,6.52560447688359,1.82174631246515,5.44303937932961
"NM_001004089",406.751685961687,355.105341147965,484.996578211759,435.040298458906,360.705769868099,453.949484236089
"NM_001004090",43.3343200540296,18.8760314231477,83.807408714992,34.8032238767125,24.5935752182795,13.0632945103911
"NM_001004091",5.90922546191313,11.7975196394673,15.5198905027763,15.2264104460617,9.10873156232573,4.35443150346369
"NM_001004095",72.8804473635953,79.0433815844308,76.0474634636039,73.956850738014,52.8306430614892,54.4303937932961
"NM_001004096",20.682289116696,36.5723108823486,41.1277098323572,60.9056417842469,26.4153215307446,116.481042717654
"NM_001004098",151.670120189104,168.704530844382,165.286833854568,245.797768629282,158.491929184468,170.91143651095
"NM_001004099",1796.40454042159,1370.8717821061,1545.78109407652,1314.90930209204,1072.09770488574,1693.87385484737
"NM_001004102",350.614044073513,318.533030265617,446.196851954819,363.258649213187,419.912525023216,355.974775408156
"NM_001004107",470.768295132413,480.159049326319,435.332928602875,463.317917858735,381.655852461448,499.671015022458
"NM_001004198",165.458312933568,148.648747457288,131.919069273599,152.264104460617,131.165734497491,156.759534124693
"NM_001004199",3367.27364238017,3188.86955854801,3481.11143977272,3014.82926832022,3137.95802322121,2693.21588489229
"NM_001004200",585.0133207294,586.336726081524,626.227581787024,664.524055895979,643.076448300197,559.544448195084
"NM_001004201",31.5158691302034,33.0330549905084,26.3838138547197,4.35040298458906,19.128336280884,8.70886300692737
"NM_001004202",873.580497452825,701.952418548304,1548.88507217708,1068.02393271661,1060.25635385472,1050.50660021061
"NM_001004203",367.356849548933,279.601215455375,472.580665809538,320.842220113443,244.11400587033,218.81018304905
"NM_001004204",1050.85726131022,1206.8862591175,1434.81387698167,1271.40527224615,1439.17958684747,1315.03831404603
"NM_001004205",156.594474740698,176.962794592009,134.247052849015,127.24928729923,171.244153371724,194.86080978
"NM_001004206",820.397468295607,817.568111015083,1064.66448849045,880.956604379285,999.227852387133,890.481242458324
"NM_001004207",165.458312933568,185.221058339636,198.654598435537,188.154929083477,177.620265465352,175.265868014413
