"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001000121",77.9391313680065,-0.0651500369718799,0.138969674731026,0.3028788318694,0.684828608935418
"NM_001000750",125.268089342813,0.0278204006678385,0.139632001448211,0.423811881251217,0.766440323806029
"NM_001000913",13.9586757007786,0.0142183327127823,0.136999803724898,0.672983753933663,0.892012866700619
"NM_001001504",568.468091693604,-0.41557073603083,0.171388663044321,0.00115975843772164,0.0432828314509983
"NM_001001505",4785.00941480794,-0.0270133691652749,0.125525134153742,0.650724465744864,0.882270704176432
"NM_001001507",778.174104171127,0.00135952365752084,0.113529274397319,0.984629678634963,0.996923800388589
"NM_001001509",8882.44116818112,-0.0454091851043467,0.149363497361207,0.059509598220686,0.352178595128086
"NM_001001511",161.450201989734,-0.125980981935777,0.178616487837244,0.099484228086013,0.441049489664439
"NM_001001512",3847.65795575817,0.000530340200791734,0.092005011223915,0.993475154690916,0.999091670094183
"NM_001001513",220.219848512121,-0.00683707165829654,0.114665414674432,0.916468697562532,0.97756045389195
"NM_001001515",256.210686326168,0.0635382862443522,0.138677315810397,0.313043638395794,0.693151508171658
"NM_001001517",1125.9901512032,0.00410220920043317,0.0909483359509669,0.953864002068169,0.987914273972437
"NM_001001718",359.568625616556,-0.106951649637662,0.123922033810674,0.179015239336316,0.559396968177174
"NM_001001719",43.6434569696761,0.0321103293346728,0.141458819215771,0.332298374598837,0.70760395433959
"NM_001001720",94.6915631553251,-0.00765076646195573,0.128953037632473,0.879182219314384,0.966333581434209
"NM_001001800",851.677887305368,0.124634494201459,0.1534014777911,0.127907953926294,0.490533989332797
"NM_001001801",61.0688416312804,0.0718842542876149,0.152584388421079,0.188379449986466,0.568076184912718
"NM_001002016",1481.87593428378,-0.0814635847489065,0.103736695531663,0.274513718805693,0.65790940913944
"NM_001002022",1120.01472713897,-0.0569392839738939,0.118788771742629,0.424412111159568,0.767102537651331
"NM_001002253",509.274702582064,0.0550988805459421,0.124001317999877,0.425653555100987,0.767408723899456
"NM_001002277",129.003094502018,0.0259229001905204,0.118061935544246,0.695416641866598,0.901766030501437
"NM_001002278",382.524004257107,0.276986867223398,0.20562683055211,0.017334459219059,0.199859410866891
"NM_001002279",192.027219167114,0.0817675003984135,0.128814231910292,0.272253763482698,0.65542308490825
"NM_001002289",284.69757863519,0.0606013012625423,0.118292552267934,0.402559044083375,0.752040438179807
"NM_001002798",515.588717641118,0.0663161449173245,0.119243249204986,0.36747782246104,0.730136813630867
"NM_001002802",136.7474874695,-0.0160163768743188,0.125703053900652,0.778159356742457,0.932368554824431
"NM_001002804",2077.63110165281,0.04860065998663,0.128704812074485,0.449489831584064,0.782115648283196
"NM_001002805",862.152468912567,0.0673932796506875,0.12345813289543,0.352815619758782,0.719263057334662
"NM_001002807",322.129176531206,0.0423817909322638,0.11200455006955,0.551707534248712,0.833357692756728
"NM_001002809",1236.79591288578,0.114124264108667,0.134385712254056,0.158584260454482,0.535281535320858
"NM_001002818",179.885199925733,0.0539864070923195,0.126012461068738,0.427184507089956,0.768083096406571
